volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,417714.56,2254018.31,59122.31,87.6,66847450,738110,7687.31,5344,36255629,3589308,940584,428987,46895.55,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,217215.48,337181.28,149725.52,59.2,47790847,471161,635.62,50290,7575503,489992,201996,139568,7751.23,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,314542.35,1103818.41,186019.99,62.8,243247072,2201149,707.1,47670,4874676,6852204,1311789,649469,8453.05,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47712.8,94651.49,14857.49,76.3,5330164,94677,188.85,26966,19067142,1233993,322269,280904,3305.27,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,96457.41,509673.46,141961.03,40.5,123262575,1267896,623.61,6148,4442614,9163616,2136261,1090239,3065.48,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4986.48,83169.68,27781.51,15.2,11136039,373837,797.29,3214,8024541,1186938,120710,6990,1815.34,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,224342.89,1685496.25,14075.55,94.1,43093426,89384,2183.7,361948,41996797,460577,53513,26063,44513.54,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,171583.12,263576.28,61061.22,73.8,13834770,2,2183.7,2334440,20456559,460916,29985,23762,2183.7,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,239082.46,324291.33,88597.42,73,25620605,18479,969.97,9030,13590991,1114184,170208,18197,8942.12,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73740.96,464766.44,24563,75,45127225,1069,316.98,3092,11058406,772424,186941,100583,5208.2,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.87,963.94,31720.11,3.2,1070438,41,5.02,26883,966806,104895,8417,2352,15.84,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72231.84,766729.3,26072.12,73.5,65407044,41566,6986.37,15146,12586760,1133911,293426,240095,24042.27,21/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93539.55,2044703.04,4764.42,95.2,4381529,3,94.89,629153792,502665027,3939,1046,280,33743.95,21/3/21 4:00
