volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452938.91,2045489.81,23897.97,95,65085237,698377,7687.31,5598,33783188,3468739,924056,422119,46895.55,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,167665.95,272760.72,199275.06,45.7,43711000,211097,635.62,48561,6700123,447478,177776,125100,7751.23,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,330176.61,1100528.64,170385.73,66,237090434,2182659,954.28,46821,4986350,6700755,1265891,634582,8453.05,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,41689.23,88840.18,20881.06,66.6,5306789,93224,188.85,26898,17975303,1225330,318487,278916,3305.27,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,94376.85,507639.11,144041.59,39.6,117985963,1086823,623.61,6581,4622363,8596863,2079410,1101232,3065.48,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4945.21,83098.88,27822.77,15.1,10935470,368642,797.29,3208,8164760,1157035,116773,7002,1782.8,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,233758.33,1575417.54,4660.11,98,42237851,89385,2183.7,361948,40049145,450488,52872,25883,43649.57,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",327679.88,157315.19,249021.88,170364.69,48,11188452,2,2183.7,2334456,23898240,451269,28586,22982,2183.7,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,221785.05,266856.84,105894.83,67.7,24109347,18479,969.97,8995,11885008,1044193,167416,17199,8942.12,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73720.14,440098.51,24583.82,75,41120762,1069,204.08,2509,11491726,724255,178641,95168,5208.2,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.05,996.25,31686.94,3.3,1070669,41,5.02,27136,998998,104944,8421,2337,15.84,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,78298.13,752642.26,20005.83,79.6,65266605,41566,6986.37,15143,12382090,1124982,289513,236677,22759.97,20/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,55797.18,2004864.02,42506.79,56.8,4297246,3,94.89,629153792,502569453,3845,1044,280,33743.95,20/11/20 4:00
