volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,454155.73,2291241.13,22681.15,95.2,68067564,749186,7687.31,5211,36192923,3811810,968526,441237,46895.55,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,240543.84,361821.88,126397.17,65.6,48982754,522781,635.62,49973,7931308,539277,212838,145279,11605.32,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,318577.05,1117078.02,181985.29,63.6,248440860,2205306,707.1,48185,4830073,7104460,1322704,655712,8453.05,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,50699.35,97481.53,11870.94,81,5338437,93188,188.85,27958,19606810,1233440,322263,279932,3305.27,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,98798.93,511404,139619.51,41.4,124475862,1310473,799.98,6117,4414244,9373275,2167976,1099335,3065.48,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,6468.41,84621.67,26299.57,19.7,11693225,394471,797.29,3247,7775735,1235142,124821,7050,1866.97,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226493.88,1752140.57,11924.56,95,43520335,89384,2183.7,361948,43229092,464311,54014,26280,44387.37,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,174359.53,272934.7,58284.81,74.9,17187393,2,2183.7,2334216,17050873,465436,30568,23809,2183.7,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,245457.1,349648.34,82222.79,74.9,25920576,18479,969.97,9106,14484102,1118404,170914,18432,8942.12,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73947.61,475384.2,24356.36,75.2,46996009,1069,316.98,3956,10861258,801070,189689,102206,5208.2,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.28,974.73,31708.71,3.2,1071510,41,10.49,26825,976650,105030,8429,2360,15.84,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73734.08,772283.39,24569.88,75,65447944,41566,6986.37,15147,12670015,1136762,294664,241151,24591.54,12/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93669.05,2061404.92,4634.91,95.3,4413012,3,94.89,629153792,503142728,4004,1058,280,33743.95,12/5/21 4:00
