volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,428874.47,2263875.14,47962.4,89.9,66969836,739367,7687.31,5353,36347409,3607603,941045,429051,46895.55,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,215896.23,337625,151044.78,58.8,47711347,472533,635.62,50002,7598112,502503,209111,144242,7751.23,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,308515.45,1101299.64,192046.9,61.6,245380563,2200796,707.1,47860,4821269,6867706,1312343,649564,8453.05,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47792.56,94728.13,14777.73,76.4,5318422,93008,188.85,27314,19124711,1232576,322195,279926,3305.27,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,96705.99,509675.46,141712.45,40.6,123785984,1283677,623.61,6090,4423836,9214975,2146967,1095494,3065.48,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4994.57,83199.28,27773.42,15.2,11149921,373947,797.29,3216,8017401,1187950,120802,6993,1837.36,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226497.19,1700426.94,11921.24,95,43102443,89384,2183.7,361948,42359955,461080,53575,26108,44387.37,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,172918.3,264659.3,59726.04,74.3,13918630,2,2183.7,2334440,20416855,461558,29996,23763,2183.7,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,242229.4,334856.95,85450.48,73.9,25752972,18479,969.97,9057,13961656,1115463,170394,18230,8942.12,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73718.81,466629.63,24585.16,75,45455098,1069,316.98,3327,11026846,777524,187322,100759,5208.2,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.11,1009.91,31708.87,3.2,1072347,41,10.49,27092,1011118,105085,8427,2355,15.84,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,74493.72,769672.79,23810.24,75.8,65429336,41566,6986.37,15146,12630777,1135700,294263,240796,24156.94,1/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93661.06,2052125.9,4642.9,95.3,4395264,3,94.89,629153792,502907591,4000,1058,280,33743.95,1/4/21 4:00
