volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452980.54,2242423.28,23856.33,95,66831550,732003,7687.31,5337,36076046,3579436,939508,428617,46895.55,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,207575.24,327689.22,159365.76,56.6,47444662,452464,635.62,50148,7415961,488462,201684,139474,7751.23,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,312484.6,1101223.11,188077.75,62.4,241957713,2199262,707.1,47563,4889134,6832951,1309575,649246,8453.05,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47348.37,94310.95,15221.92,75.7,5329747,94677,188.85,26961,19000028,1233924,322253,280889,3305.27,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,96579.66,509748.78,141838.78,40.5,122473830,1249429,623.61,6156,4471877,9115465,2127096,1087164,3065.48,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4986.37,83146.03,27781.61,15.2,11134496,373834,797.29,3215,8023373,1186695,120666,6989,1791.79,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,214912.73,1677636.84,23505.71,90.1,43089464,89384,2183.7,361948,41804810,460353,53497,26056,44513.54,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,170812.31,262862.44,61832.03,73.4,13772181,2,2183.7,2334440,20493871,460634,29938,23759,2183.7,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,238966.51,324179.53,88713.37,72.9,25619593,18479,969.97,9030,13586843,1114062,170191,18192,8942.12,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73844.01,457066.92,24459.95,75.1,45089795,1069,275.47,3099,10884234,769968,186841,100561,5208.2,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.86,963.92,31720.13,3.2,1070403,41,5.02,26883,966819,104893,8417,2351,15.84,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72379.32,766577.36,25924.64,73.6,65405741,41566,6986.37,15146,12584517,1133931,293436,240095,23968.19,14/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,87479.8,2035551.38,10824.16,89,4365562,3,94.89,629153792,502252601,3938,1046,280,33743.95,14/3/21 4:00
