volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,453065.48,2154112.36,23771.4,95,66209469,724771,7687.31,5395,34982836,3554427,960220,453320,46895.55,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,181393.9,303869.79,185547.11,49.4,45634221,417809,635.62,49611,7149722,446518,184042,129253,7751.23,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,299456.16,1078916.66,201106.18,59.8,239036283,2192351,707.1,47225,4848689,6759961,1288493,638601,8453.05,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44675.78,91776.66,17894.51,71.4,5314442,93414,188.85,27064,18542712,1226534,318564,278968,3305.27,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95599.65,508761.12,142818.78,40.1,120882723,1183411,623.61,6397,4521824,8929076,2129563,1104072,3065.48,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4963.66,83241.45,27804.32,15.1,11079265,371686,797.29,3199,8072602,1175525,119285,7021,1908.28,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226227.29,1627870.6,12191.15,94.9,42668787,89384,2183.7,361948,40964624,455912,53148,25960,43649.57,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,168556.28,259493.13,64088.06,72.5,13467272,2,2183.7,2334444,20689236,457341,29289,23278,2183.7,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,236214.13,293820.24,91465.75,72.1,24725506,18479,969.97,8998,12759757,1065332,168397,17702,8942.12,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73699.3,451698.03,24604.66,75,44023747,1069,204.08,2362,11016853,755943,183902,98726,5208.2,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1046.35,962.53,31721.63,3.2,1069776,41,5.02,26940,965984,104860,8426,2358,15.84,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,71965.03,758775.24,26338.93,73.2,65332241,41566,6986.37,15145,12470446,1128400,291018,238005,23509.83,30/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,62025.13,2010864.27,36278.83,63.1,4310241,3,94.89,629153792,502548996,3890,1044,280,33743.95,30/1/21 4:00
