volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,422475.83,2257775.8,54361.05,88.6,66965866,737583,7687.31,5353,36251766,3606970,940982,429026,46895.55,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,210413.13,332452.73,156527.88,57.3,47644972,470322,635.62,50024,7492134,499983,207962,143385,7751.23,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,312590.28,1105976.69,187972.07,62.4,245000805,2201223,707.1,47891,4849240,6868068,1313151,649773,8453.05,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47790.64,94726.25,14779.65,76.4,5318389,93008,188.85,27312,19124450,1232573,322194,279926,3305.27,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,97000.07,510164.83,141418.37,40.7,123662992,1280497,623.61,6098,4432485,9195370,2143506,1094155,3065.48,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4986.51,83200.36,27781.47,15.2,11137608,373840,797.29,3214,8026368,1187166,120717,6990,1845.98,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226463.59,1696200.63,11954.85,95,43099974,89384,2183.7,361948,42257092,460948,53549,26088,44387.37,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,172400.9,264220.79,60243.44,74.1,13899304,2,2183.7,2334440,20411368,461228,29996,23763,2183.7,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,240387.09,333149.36,87292.79,73.4,25748093,18479,969.97,9058,13893092,1115227,170390,18232,8942.12,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73719.27,466198.4,24584.69,75,45297884,1069,316.98,3180,11050686,775168,187224,100727,5208.2,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.11,1009.91,31708.87,3.2,1072299,41,10.49,27100,1011162,105081,8427,2355,15.84,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72674.17,767657.44,25629.79,73.9,65423622,41566,6986.37,15146,12598804,1135253,294039,240619,24116.02,28/3/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,94211.83,2049646.05,4092.14,95.8,4390787,3,94.89,629153792,502813939,4000,1058,280,33743.95,28/3/21 4:00
