volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452999.6,2197946.31,23837.27,95,66400614,728340,7687.31,5434,35590956,3573376,939181,428669,46895.55,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,206547.4,323225.94,160393.61,56.3,47140889,440895,635.62,50057,7362088,480154,198741,137539,7751.23,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,303430.37,1090882.83,197131.97,60.6,240060739,2197866,707.1,47142,4881519,6814067,1307706,648898,8453.05,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,46489,93484.35,16081.29,74.3,5317355,93399,188.85,27099,18877390,1229146,319297,278959,3305.27,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95738.44,509090.45,142679.99,40.2,121540118,1229796,623.61,6274,4500352,9041581,2115490,1085859,3065.48,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,5011.49,83147.75,27756.49,15.3,11235768,375334,797.29,3187,7951206,1192332,121216,7107,1769.87,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226493.83,1656655.87,11924.61,95,43032825,89384,2183.7,361948,41336322,459542,53416,26034,44494.28,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,169195.06,260814.23,63449.28,72.7,13575409,2,2183.7,2334444,20628924,459669,29868,23758,2183.7,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,244714.01,314728.39,82965.87,74.7,25532274,18479,969.97,9011,13235848,1113328,170194,18243,8942.12,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73803.17,455004.9,24500.8,75.1,44907191,1069,204.08,2953,10879189,766781,186164,100165,5208.2,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.74,963.82,31720.25,3.2,1070140,41,5.02,26900,966951,104881,8417,2350,15.84,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72104.54,764024.82,26199.43,73.3,65383225,41566,6986.37,15145,12546932,1132118,292629,239403,23796.72,26/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,72623.46,2021209.63,25680.5,73.9,4336003,3,94.89,629153792,502125007,3933,1044,280,33743.95,26/2/21 4:00
