volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452984.01,2150910.12,23852.87,95,65595169,724551,7687.31,5567,35258034,3517661,931709,424881,46895.55,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,183462.26,304785.36,183478.75,50,45692524,417295,635.62,49621,7162114,446305,183985,129216,7751.23,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,296416.2,1074602.12,204146.15,59.2,238901033,2192216,707.1,47237,4832043,6756679,1288043,638467,8453.05,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44248.6,91375.63,18321.69,70.7,5310605,93224,188.85,26967,18475025,1226131,318454,278896,3305.27,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95306.21,508405.16,143112.23,40,120804833,1174299,623.61,6394,4521568,8924404,2129838,1103764,3065.48,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4961.98,83098.5,27806,15.1,11070900,371686,797.29,3198,8064837,1173960,119184,7021,1766.94,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226860.62,1621981.8,11557.81,95.2,42654750,89384,2183.7,361948,40829867,455726,53108,25938,43649.57,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,167604.51,258666.08,65039.83,72,13311516,2,2183.7,2334444,20864606,456231,29136,23142,2183.7,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,234404.91,292057.19,93274.97,71.5,24686896,18479,969.97,9005,12703030,1064445,168200,17571,8942.12,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73765.01,450705.62,24538.96,75,43794484,1069,204.08,2348,11050361,752691,183027,98175,5208.2,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1082.02,997.14,31685.96,3.3,1071369,41,5.02,27136,999235,105008,8435,2362,15.84,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72133.05,758701.42,26170.92,73.4,65330930,41566,6986.37,15145,12469483,1128383,291018,238005,23427.85,22/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,61443.08,2010298.63,36860.88,62.5,4308999,3,94.89,629153792,502552900,3890,1044,280,33743.95,22/1/21 4:00
