volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,453175.29,2184740.3,23661.58,95,66177032,727806,7687.31,5520,35496931,3537432,938128,428022,46895.55,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,200662.38,317649.66,166278.63,54.7,46878040,435908,635.62,50035,7275644,467324,191945,133043,7751.23,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,304410.21,1087687.92,196152.13,60.8,239609912,2192016,707.1,47238,4876076,6831277,1294733,640992,8453.05,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44747.57,91845.03,17822.72,71.5,5314602,93399,188.85,27065,18555966,1226867,318541,278958,3305.27,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95500.3,508882.1,142918.14,40.1,121294378,1217838,623.61,6297,4507602,9006383,2108605,1085371,3065.48,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4992.3,83128.03,27775.68,15.2,11134514,375328,797.29,3178,8021611,1178863,120563,7090,1767.98,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226493.76,1638581.78,11924.68,95,42794520,89384,2183.7,361948,41113017,456910,53263,25992,43977.5,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,168711.58,260410.23,63932.76,72.5,13533595,2,2183.7,2334440,20660607,459342,29861,23758,2183.7,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,245466.22,305746.73,82213.66,74.9,25298005,18479,969.97,8982,12977203,1068487,169637,18241,8942.12,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73736.3,453394.98,24567.66,75,44528662,1069,204.08,2562,10933132,762078,184926,99377,5208.2,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.73,963.81,31720.26,3.2,1070039,41,5.02,26910,967035,104877,8419,2352,15.84,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73799.8,764259.87,24504.17,75.1,65365095,41566,6986.37,15145,12554273,1130683,292023,238883,23714.71,18/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,63800.63,2012587.93,34503.33,64.9,4313757,3,94.89,629153792,502568423,3890,1044,280,33743.95,18/2/21 4:00
