volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452985.84,2152322.43,23851.04,95,65655632,724560,7687.31,5547,35248662,3543771,952798,445928,46895.55,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,183469.06,304792.06,183471.95,50,45692914,417625,635.62,49621,7162211,446415,184020,129242,7751.23,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,297115.92,1076331.76,203446.42,59.4,238910253,2192220,707.1,47240,4839629,6757739,1288110,638501,8453.05,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44248.6,91375.63,18321.69,70.7,5310604,93224,188.85,26967,18475028,1226131,318454,278896,3305.27,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95330.23,508427.12,143088.21,40,120761109,1179874,623.61,6407,4523392,8915738,2127684,1103842,3065.48,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4963.45,83116.23,27804.54,15.1,11072560,371686,797.29,3198,8065348,1174211,119236,7021,1783.26,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226495.44,1622717.07,11923,95,42656795,89384,2183.7,361948,40846417,455751,53115,25944,43649.57,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,167727.04,258774.72,64917.3,72.1,13315019,2,2183.7,2334444,20867877,456963,29262,23267,2183.7,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,234551.18,292196.43,93128.7,71.6,24690873,18479,969.97,9006,12707040,1064817,168267,17622,8942.12,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73719.17,451254.98,24584.8,75,43910769,1069,204.08,2395,11034365,754014,183251,98305,5208.2,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1082.91,997.71,31685.08,3.3,1071517,41,5.02,27136,999673,105014,8437,2363,15.84,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73711.59,760036.38,24592.37,75,65331381,41566,6986.37,15145,12491337,1128389,291018,238005,23458.66,25/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,61594.76,2010445.44,36709.2,62.7,4309355,3,94.89,629153792,502547963,3890,1044,280,33743.95,25/1/21 4:00
