volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,436909.95,2270406.77,39926.92,91.6,66979491,739521,7687.31,5352,36446878,3609075,941127,429088,46895.55,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,215295.63,337179.05,151645.38,58.7,47763380,446269,635.62,50057,7579810,504339,209265,144299,7751.23,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,307136.63,1104372.39,193425.71,61.4,245715079,2202362,707.1,47872,4828133,6881746,1313436,649948,8453.05,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47792.56,94728.13,14777.73,76.4,5318424,93008,188.85,27314,19124704,1232576,322195,279926,3305.27,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,97704.01,510623.88,140714.43,41,123980173,1272551,799.98,6020,4425108,9209923,2143636,1095399,3065.48,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4997.64,83137.41,27770.34,15.3,11153589,374005,797.29,3215,8008808,1188429,120927,6993,1772.55,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,225742.05,1709993.43,12676.39,94.7,43111566,89384,2183.7,361948,42589255,461859,53600,26113,44387.37,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,172601.8,265109.61,60042.54,74.2,13930196,2,2183.7,2334440,20434614,461893,30001,23763,2183.7,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,244983.15,337713.37,82696.73,74.8,25769270,18479,969.97,9062,14071846,1116114,170430,18230,8942.12,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73716.7,467866.23,24587.26,75,45739275,1069,316.98,3545,10990899,781993,187814,101061,5208.2,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1095.14,1009.92,31672.85,3.3,1072462,41,10.49,27092,1011020,105095,8424,2355,15.84,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72303.04,768988.16,26000.93,73.6,65434744,41566,6986.37,15146,12618499,1136067,294420,240933,24253.19,10/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93701.91,2058887.47,4602.06,95.3,4407350,3,94.89,629153792,503175786,4001,1058,280,33743.95,10/4/21 4:00
