volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,453029.46,2047401.02,23807.42,95,64932154,698364,7687.31,5636,33894440,3468556,924023,422138,46895.55,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,172618.1,277676.4,194322.91,47,43818302,311833,635.62,48674,6804171,449378,178412,125715,7751.23,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,328940.45,1100647.53,171621.89,65.7,237111326,2182664,954.28,46820,4986449,6701498,1266060,634599,8453.05,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,41689.23,88840.18,20881.06,66.6,5306794,93224,188.85,26898,17975287,1225330,318487,278916,3305.27,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,94524.14,507777.26,143894.3,39.6,118136406,1092113,623.61,6572,4617747,8607598,2080235,1101264,3065.48,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4945.22,83202.8,27822.77,15.1,10935485,368642,797.29,3208,8174952,1157035,116773,7002,1886.72,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,234114.55,1575693.13,4303.89,98.2,42238950,89385,2183.7,361948,40055108,450528,52876,25883,43649.57,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",327679.88,157882.97,249442.88,169796.91,48.2,11336810,2,2183.7,2334456,23625372,451441,28598,22983,2183.7,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,221990.83,267040.45,105689.05,67.7,24112434,18479,969.97,8995,11891663,1044234,167420,17199,8942.12,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73723.48,440221.68,24580.49,75,41255215,1069,204.08,2260,11456314,725306,178749,95274,5208.2,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.05,996.25,31686.93,3.3,1070695,41,5.02,27136,998975,104947,8421,2337,15.84,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,78590.21,752856.23,19713.76,79.9,65266907,41566,6986.37,15143,12385553,1124986,289513,236677,22780.42,22/11/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,55931.02,2004992.44,42372.95,56.9,4297513,3,94.89,629153792,502570315,3845,1044,280,33743.95,22/11/20 4:00
