volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,457273.56,2065496.9,19563.31,95.9,65272931,714487,7687.31,5588,34023931,3493810,926194,422749,46895.55,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,167406.62,282210.14,199534.39,45.6,43980727,318257,635.62,48788,6889729,430786,178416,125628,7751.23,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,283833.35,1058840.61,216728.99,56.7,236268607,2181691,707.1,46546,4814236,6672591,1258948,631699,8453.05,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,41798.76,88947.91,20771.53,66.8,5307354,93224,188.85,26877,17995185,1225339,318461,278890,3305.27,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,94953.61,508108.5,143464.82,39.8,118538467,1104036,623.61,6513,4605142,8672761,2093196,1102338,3065.48,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4945.34,83060.54,27822.64,15.1,10942918,368648,797.29,3207,8155440,1158304,116876,7003,1744.36,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,233147.44,1592767.79,5271,97.8,42297383,89384,2183.7,361948,40433222,451169,52929,25904,43649.57,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",327679.88,161863.01,253607.58,165816.87,49.4,12537554,2,2183.7,2334448,21719394,453061,28826,23031,2183.7,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,222292.33,267316.08,105387.56,67.8,24136017,18479,969.97,8996,11892305,1044693,167498,17250,8942.12,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73656.85,445269.75,24647.11,74.9,42715664,1069,204.08,1985,11192788,739648,181137,97027,5208.2,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.06,996.26,31686.93,3.3,1070872,41,5.02,27136,998819,104957,8425,2348,15.84,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,83318.03,757329.62,14985.93,84.8,65310509,41566,6986.37,15143,12450829,1128283,291020,238005,22950.87,8/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,57387.03,2006408.79,40916.93,58.4,4301259,3,94.89,629153792,502486191,3886,1044,280,33743.95,8/12/20 4:00
