volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,453016.96,2185594.93,23819.92,95,66319095,727814,7687.31,5464,35434729,3539451,938481,428367,46895.55,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,202625.07,319564.69,164315.93,55.2,46952214,438882,635.62,50088,7307944,477539,198021,137174,7751.23,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,301136.48,1088727.36,199425.86,60.2,239637297,2190320,707.1,47223,4880494,6787446,1293937,639957,8453.05,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44751.87,91849.07,17818.41,71.5,5316897,93399,188.85,27094,18548772,1229133,319296,278958,3305.27,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95629.09,508985.27,142789.34,40.1,121401715,1220868,623.61,6287,4504532,9025755,2113235,1085486,3065.48,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,5011.49,83148.72,27756.5,15.3,11235753,375333,797.29,3187,7951309,1192326,121214,7107,1770.84,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226493.13,1646864.34,11925.31,95,42831204,89384,2183.7,361948,41285441,457115,53282,26000,44494.28,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,168828.35,260518.1,63815.99,72.6,13534694,2,2183.7,2334440,20667487,459353,29861,23758,2183.7,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,245428.81,312019.57,82251.07,74.9,25474975,18479,969.97,8998,13151445,1112594,170003,18173,8942.12,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73719.22,454079.4,24584.74,75,44664645,1069,204.08,2736,10916018,763973,185539,99772,5208.2,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.73,963.81,31720.26,3.2,1070055,41,5.02,26907,967019,104874,8418,2351,15.84,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73340.36,763905.16,24963.61,74.6,65381678,41566,6986.37,15145,12545264,1132039,292602,239384,23745.51,21/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,67619.44,2016319.77,30684.52,68.8,4323155,3,94.89,629153792,502402778,3890,1044,280,33743.95,21/2/21 4:00
