volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,458695.58,2066727.3,18141.3,96.2,65458275,714489,7687.31,5523,33947775,3508878,928772,423537,46895.55,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,170111.21,284907.83,196829.8,46.4,44265502,398832,635.62,49018,6910841,432504,178848,125824,7751.23,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,284763.32,1060788.6,215799.02,56.9,236681070,2181714,707.1,46679,4814686,6675767,1259231,631782,8453.05,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,41870.5,89015.75,20699.79,66.9,5307924,93224,188.85,26875,18006976,1225360,318461,278889,3305.27,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,94989.51,508137.82,143428.93,39.8,118566340,1104227,623.61,6508,4604325,8678394,2094340,1102642,3065.48,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4947.64,83072.68,27820.35,15.1,10957646,369951,797.29,3207,8145669,1159203,116930,7003,1754.39,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,233470.25,1593019.21,4948.19,97.9,42298290,89384,2183.7,361948,40438738,451188,52934,25904,43649.57,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",327679.88,162537.36,254182.54,165142.53,49.6,12696007,2,2183.7,2334448,21496950,453302,28858,23033,2183.7,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,222383.01,267405.52,105296.87,67.9,24125234,18479,969.97,8995,11901601,1044764,167498,17232,8942.12,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73785.85,445405.59,24518.11,75.1,42735466,1069,204.08,2132,11190923,740179,181144,97032,5208.2,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.06,996.26,31686.92,3.3,1070885,41,5.02,27136,998807,104959,8426,2349,15.84,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,83417.13,757417.05,14886.83,84.9,65310659,41566,6986.37,15143,12452238,1128285,291020,238005,22961.12,9/12/20 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,57579.55,2006596.51,40724.41,58.6,4301617,3,94.89,629153792,502491231,3886,1044,280,33743.95,9/12/20 4:00
