volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,459511.81,2130809.79,17325.06,96.4,65578630,723368,7687.31,5568,34937816,3518126,931546,424443,46895.55,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,186083.8,302413.58,180857.21,50.7,44924793,415753,635.62,49152,7227823,438379,180992,127139,7751.23,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,292815.12,1071031.65,207747.22,58.5,238500947,2189217,707.1,47189,4824071,6732030,1281527,636216,8453.05,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,43681.46,90845.92,18888.83,69.8,5309533,93224,188.85,26938,18371633,1226027,318456,278895,3305.27,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95654.36,508742.18,142764.07,40.1,120126380,1151101,623.61,6418,4550034,8847563,2117170,1103163,3065.48,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4959.34,83061.55,27808.64,15.1,11071368,371599,797.29,3198,8060913,1174142,119207,7021,1732.52,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,225088.04,1610508.47,13330.4,94.4,42558258,89384,2183.7,361948,40632969,455238,53088,25929,43649.57,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",355183.02,167023.44,258175.95,188159.57,47,13266084,2,2183.7,2334444,20896390,454423,28973,23034,2183.7,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,232487.55,282436.28,95192.33,70.9,24551376,18479,969.97,8982,12352385,1058756,168016,17520,8942.12,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73718.91,450153.63,24585.05,75,43692860,1069,204.08,2270,11062332,751156,182675,97996,5208.2,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.86,996.99,31686.12,3.3,1071213,41,5.02,27136,999231,105001,8439,2363,15.84,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73875.39,759492.69,24428.58,75.1,65329089,41566,6986.37,15144,12482840,1128360,291018,238005,23309.41,11/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,60255.07,2009195.07,38048.89,61.3,4306798,3,94.89,629153792,502534597,3889,1044,280,33743.95,11/1/21 4:00
