volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,453271.8,2149473.83,23565.08,95.1,65596469,723357,7687.31,5569,35233825,3519743,931857,424563,46895.55,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,187214.85,304568.36,179726.16,51,45682697,416107,635.62,49633,7158555,442607,181851,127746,7751.23,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,296564.21,1074733.89,203998.13,59.2,238791195,2190207,707.1,47273,4834855,6741955,1285261,638335,8453.05,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,43852.89,91009.96,18717.4,70.1,5309797,93224,188.85,26946,18403892,1226123,318454,278896,3305.27,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95427.77,508534.92,142990.67,40,120437231,1166926,623.61,6402,4536473,8886944,2124015,1104008,3065.48,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4959.64,83096.42,27808.35,15.1,11071795,371693,797.29,3199,8063984,1174184,119209,7021,1767.15,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226494.71,1616496.21,11923.73,95,42604167,89384,2183.7,361948,40740091,455445,53102,25935,43649.57,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,167209.23,258322.85,65435.11,71.9,13268809,2,2183.7,2334444,20903986,454566,28986,23038,2183.7,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,227421.61,285505.04,100258.27,69.4,24599736,18479,969.97,8992,12462048,1058813,168033,17526,8942.12,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73715.4,450402.29,24588.56,75,43708594,1069,204.08,2264,11064458,751378,182764,98035,5208.2,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1081.92,997.05,31686.06,3.3,1071310,41,5.02,27136,999203,105006,8437,2364,15.84,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72575.5,758774.08,25728.47,73.8,65330041,41566,6986.37,15144,12470847,1128372,291018,238005,23374.36,17/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,60581.31,2009512.17,37722.66,61.6,4307482,3,94.89,629153792,502533842,3889,1044,280,33743.95,17/1/21 4:00
