volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452938.98,2170162.48,23897.9,95,66047047,726424,7687.31,5502,35329796,3540592,945455,437824,46895.55,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,190013.77,311029.69,176927.24,51.8,45802071,417815,635.62,49572,7291371,458100,187529,130786,7751.23,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,302720.8,1085522.19,197841.55,60.5,239337946,2192939,707.1,47263,4872221,6772002,1292607,640829,8453.05,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44728.41,91827.19,17841.88,71.5,5314215,93399,188.85,27063,18553714,1226488,318539,278958,3305.27,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,96014.01,509008.28,142404.42,40.3,120924935,1182790,623.61,6354,4522485,8894578,2097309,1084391,3065.48,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4990.46,83105.29,27777.53,15.2,11207915,374811,797.29,3172,7966898,1183667,120373,7146,1747.23,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226492.95,1631411.16,11925.49,95,42729360,89384,2183.7,361948,40995523,456222,53198,25985,43649.57,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,168591.11,260337.72,64053.23,72.5,13517000,2,2183.7,2334440,20680212,458849,29794,23716,2183.7,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,243989.49,302325.91,83690.39,74.5,25262889,18479,969.97,8975,12849848,1067679,169526,18207,8942.12,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73718.86,453054.03,24585.1,75,44410614,1069,204.08,2625,10953668,760431,184730,99241,5208.2,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1047.72,963.8,31720.26,3.2,1069918,41,5.02,26931,967138,104865,8415,2347,15.84,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73825.26,761461.83,24478.71,75.1,65334093,41566,6986.37,15145,12514246,1128424,291018,238005,23628.78,10/2/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,63100.32,2011912.88,35203.65,64.2,4312338,3,94.89,629153792,502565715,3890,1044,280,33743.95,10/2/21 4:00
