volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,445442.83,2280027.21,31394.05,93.4,68036357,744161,7687.31,5208,36032546,3806982,966468,440211,46895.55,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,240203.45,365719.57,126737.56,65.5,49597891,504247,635.62,50880,7917319,538324,212694,145234,11605.32,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,320281.7,1118491.83,180280.64,64,248440865,2205300,707.1,48180,4836183,7103056,1322404,655691,8453.05,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,48692.48,95574.91,13877.81,77.8,5334414,93172,188.85,27762,19237821,1233361,322255,279931,3305.27,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,98910.81,511637.46,139507.63,41.5,124423034,1310294,799.98,6124,4418127,9366571,2167307,1099231,3065.48,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,6467.11,84594.16,26300.88,19.7,11683899,394463,797.29,3246,7779413,1234169,124800,7048,1852.49,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226493.83,1750550.53,11924.61,95,43519764,89384,2183.7,361948,43190429,464234,54002,26272,44387.37,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,174458.03,272940.71,58186.31,75,17183802,2,2183.7,2334216,17054812,465140,30563,23807,2183.7,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,243851.85,347198.29,83828.03,74.4,25879776,18479,969.97,9093,14405285,1118124,170859,18430,8942.12,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73748.05,474943.08,24555.92,75,46885740,1069,316.98,3878,10876700,800116,189416,102032,5208.2,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.27,974.72,31708.72,3.2,1071471,41,10.49,26828,976676,105029,8429,2360,15.84,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,73583.25,772125.79,24720.72,74.9,65447644,41566,6986.37,15147,12667488,1136758,294664,241151,24571.17,10/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93541,2061108.58,4762.97,95.2,4412419,3,94.89,629153792,503138235,4003,1058,280,33743.95,10/5/21 4:00
