volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452975.14,2151331.35,23861.73,95,65644959,724559,7687.31,5543,35238182,3543354,952785,445926,46895.55,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,183469.04,304792.03,183471.97,50,45692875,417624,635.62,49621,7162216,446399,184020,129242,7751.23,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,296280.4,1075546.91,204281.95,59.2,238905572,2192218,707.1,47239,4836197,6757202,1288023,638476,8453.05,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,44248.6,91375.63,18321.69,70.7,5310604,93224,188.85,26967,18475028,1226131,318454,278896,3305.27,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,95257.75,508357.96,143160.69,40,120686766,1167416,623.61,6409,4525550,8909283,2127206,1103763,3065.48,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4963.45,83103.98,27804.54,15.1,11072560,371686,797.29,3198,8064160,1174211,119236,7021,1771.01,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226495.18,1622503.35,11923.25,95,42656736,89384,2183.7,361948,40841094,455744,53112,25942,43649.57,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,167727.03,258774.7,64917.31,72.1,13314979,2,2183.7,2334444,20867938,456963,29262,23267,2183.7,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,234464.25,292113.75,93215.63,71.6,24690736,18479,969.97,9005,12703514,1065153,168415,17676,8942.12,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73702.3,451239.88,24601.67,75,43887878,1069,204.08,2411,11039751,753862,183220,98273,5208.2,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1082.91,997.71,31685.08,3.3,1071517,41,5.02,27136,999673,105013,8436,2362,15.84,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72162.55,758742.68,26141.41,73.4,65331088,41566,6986.37,15145,12470131,1128385,291018,238005,23438.17,23/1/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,61450.85,2010306.15,36853.12,62.5,4309044,3,94.89,629153792,502549525,3890,1044,280,33743.95,23/1/21 4:00
