volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",9.99,429283.09,2261173.13,0,100,67573303,742022,7687.31,5208,35979871,3798827,964737,439505,46895.55,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",9.99,215678.28,337547.65,0,100,47783524,464997,635.62,50073,7584897,504644,209347,144338,7751.23,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",9.99,307437.6,1105514.64,0,100,246174690,2202365,707.1,47910,4824101,6893804,1315415,651313,8453.05,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",9.99,47797.41,94732.92,0,100,5320546,93008,188.85,27393,19118042,1232589,322196,279927,3305.27,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",9.99,98139.58,511024.6,0,100,124348910,1282244,799.98,5983,4415475,9257793,2149937,1095995,3065.48,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",9.99,5028.24,83184.73,0,100,11231273,379404,797.29,3220,7957937,1194644,121343,6997,1791.65,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",9.99,225862.04,1713661.19,0,100,43121726,89384,2183.7,361948,42670549,462198,53624,26112,44387.37,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",9.99,172820.65,265306.14,0,100,13936321,2,2183.7,2334440,20440775,462062,30016,23776,2183.7,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",9.99,245453.51,339372.16,0,100,25810376,18479,969.97,9076,14118443,1116457,170514,18234,8942.12,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",9.99,73890.55,469340.34,0,100,45890678,1069,316.98,3660,10981453,783509,188150,101253,5208.2,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",9.99,1059.14,974.6,0,100,1070899,41,10.49,26870,977076,104991,8424,2355,15.84,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",9.99,73816.91,770707.33,0,100,65435450,41566,6986.37,15146,12646573,1136075,294420,240933,24295.96,14/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",9.99,93292.33,2058818.12,0,100,4407377,3,94.89,629153792,503155809,4001,1058,280,33743.95,14/4/21 4:00
