volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,452817.88,2288235.98,24018.99,95,68019111,746222,7687.31,5209,36171263,3806166,966277,440236,46895.55,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,231217.71,357131.94,135723.29,63,49300601,474204,635.62,50922,7778028,535880,212060,144979,11605.32,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,313519.03,1112938.96,187043.32,62.6,248100655,2205032,707.1,48131,4818783,7091849,1320530,654702,8453.05,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,48503.97,95397.79,14066.32,77.5,5326117,93142,188.85,27658,19232083,1232935,322234,279931,3305.27,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,98897.56,511617.28,139520.87,41.5,124149481,1292260,799.98,6144,4427665,9335441,2162733,1098936,3065.48,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,6463.51,84563.16,26304.48,19.7,11647345,394357,797.29,3247,7800970,1230087,124660,7037,1846.26,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226491.67,1745178.27,11926.77,95,43506248,89384,2183.7,361948,43071259,463933,53971,26263,44387.37,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,174589.6,269137.38,58054.74,75,15412051,2,2183.7,2334216,18750447,463805,30180,23807,2183.7,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,243503.3,346869.39,84176.58,74.3,25863094,18479,969.97,9094,14400922,1117202,170570,18271,8942.12,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73717.98,473387.48,24585.98,75,46691595,1069,316.98,3632,10886153,795896,188804,101653,5208.2,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.24,974.69,31708.75,3.2,1071283,41,10.49,26841,976819,105011,8428,2359,15.84,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,74006.54,771983.32,24297.43,75.3,65446498,41566,6986.37,15147,12665372,1136744,294666,241151,24497.22,3/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,93427.28,2059965.98,4876.69,95,4410127,3,94.89,629153792,503121530,4003,1058,280,33743.95,3/5/21 4:00
