volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,454842.33,2307586.24,21994.54,95.4,68126027,758875,7687.31,5244,36422520,3808857,968419,442753,46895.55,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,249930.15,371682.51,117010.86,68.1,49730297,620868,635.62,50230,8024986,544061,213505,145452,11605.32,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,325164.41,1127817.15,175397.94,65,249311196,2207570,707.1,48244,4859463,7140265,1330271,659419,8453.05,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,52228.5,99044.3,10341.79,83.5,5505942,100580,188.85,30639,19315081,1265151,342059,292202,3305.27,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,98955.83,511774.9,139462.61,41.5,124371663,1317039,799.98,6148,4421111,9420635,2169772,1097888,3065.48,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,8406.92,86443.18,24361.06,25.7,11753301,405443,797.29,3247,7902418,1242845,125665,7085,3152.21,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,225988.89,1777841,12429.54,94.8,43546943,89384,2183.7,361948,43836377,465155,54068,26282,44387.37,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,174469.23,274809.16,58175.11,75,17207235,2,2183.7,2334216,17148179,466488,30719,23841,2183.7,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,238012.57,363988.27,89667.31,72.6,26080389,18479,969.97,9231,14985728,1120035,171139,18475,9163.68,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73718.69,478302.19,24585.27,75,47750147,1069,316.98,4432,10762721,813604,191301,103206,5208.2,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1048.21,964.26,31719.78,3.2,1071678,41,5.02,26810,966004,105039,8429,2361,15.84,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72049.31,771442.19,26254.66,73.3,65450744,41566,6986.37,15147,12655673,1136796,294664,241151,24772.4,29/5/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,97018.28,2068418.3,1285.69,98.7,4425121,3,94.89,629153792,503467691,3906,1035,268,33743.95,29/5/21 4:00
