volume name,capacity (GiB),used physical (GiB),used logical (GiB),free (GiB),used %,regular files,symbolic links,max file size (GiB),median file size (bytes),average file size (bytes),directories,directories with subdirectories only,empty directories,max dir size (GiB),run_time
"<a href=""dashboard/volume-detail-analytics?p_volume=Bioinf"">Bioinf</a>",476836.88,430194.46,2265003.69,46642.41,90.2,66970239,739367,7687.31,5353,36365285,3607626,941047,429054,46895.55,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Projects"">Projects</a>",366941.01,216110.39,337836.56,150830.61,58.9,47718815,472533,635.62,50002,7601683,502626,209132,144242,7751.23,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=General"">General</a>",500562.34,305061.88,1102494.47,195500.47,60.9,245527966,2202379,707.1,47889,4823600,6872605,1313002,649893,8453.05,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Genomics"">Genomics</a>",62570.29,47792.56,94728.13,14777.73,76.4,5318424,93008,188.85,27314,19124704,1232576,322195,279926,3305.27,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Home"">Home</a>",238418.44,96709.64,509693.49,141708.79,40.6,123543262,1268210,623.61,6110,4432670,9186472,2140491,1094958,3065.48,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=System"">System</a>",32767.98,4994.57,83193.21,27773.42,15.2,11149923,373947,797.29,3216,8016815,1187950,120802,6993,1831.29,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Img"">Img</a>",238418.44,226565.97,1706573.06,11852.47,95,43103406,89384,2183.7,361948,42512114,461140,53579,26110,44387.37,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=ImageData"">ImageData</a>",232644.34,172184.26,264737.36,60460.08,74,13923221,2,2183.7,2334440,20416144,461662,29997,23763,2183.7,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=SBPM"">SBPM</a>",327679.88,242572.79,335469.55,85107.09,74,25760500,18479,969.97,9060,13983111,1115765,170421,18229,8942.12,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Sysbio"">Sysbio</a>",98303.96,73748.68,466869.9,24555.28,75,45548164,1069,316.98,3384,11017839,779711,187500,100860,5208.2,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Admin"">Admin</a>",32767.98,1059.12,1009.92,31708.87,3.2,1072416,41,10.49,27092,1011055,105093,8427,2355,15.84,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=Archive"">Archive</a>",98303.96,72910.62,768261.35,25393.35,74.2,65432340,41566,6986.37,15146,12607035,1135886,294331,240864,24167.19,2/4/21 4:00
"<a href=""dashboard/volume-detail-analytics?p_volume=DBkp"">DBkp</a>",98303.96,94878.12,2053733.06,3425.85,96.5,4398123,3,94.89,629153792,502973041,4000,1058,280,33743.95,2/4/21 4:00
